,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,BEKE,11.49,-0.24,-2.05,11.73
1,KOS,7.98,0.29,3.77,7.69
2,MTDR,61.86,3.73,6.42,58.13
3,CPT,144.98,3.08,2.17,141.9
4,HPQ,38.75,1.98,5.38,36.77
5,CDEV,7.83,0.44,5.95,7.39
6,QCOM,139.76,4.92,3.65,134.84
7,BILI,21.25,0.31,1.48,20.94
8,EDU,11.92,0.11,0.93,11.81
9,JD,53.68,0.96,1.82,52.72
10,UMC,8.77,0.14,1.62,8.63
11,VIV,10.89,-0.01,-0.09,10.9
12,WBA,43.71,0.67,1.56,43.04
13,INFY,19.0,0.55,2.98,18.45
14,NLSN,25.83,0.14,0.54,25.69
15,KEY,19.82,0.09,0.48,19.725
16,VIPS,9.11,0.13,1.45,8.98
17,ERIC,8.25,0.2,2.48,8.05
18,FCEL,4.22,0.24,6.03,3.98
19,X,26.58,0.89,3.46,25.69
20,BMY,76.14,-1.45,-1.87,77.59
21,HBAN,13.93,0.12,0.87,13.81
22,ALLG,8.65,0.08,0.93,8.57
23,JBHT,174.86,1.68,0.97,173.18
24,HUBG,73.44,0.08,0.11,73.36
25,SDXAY,15.412,0.27,1.8,15.14
26,SNDR,24.33,0.32,1.33,24.01
27,WERN,40.77,0.04,0.1,40.73
28,LSTR,152.92,-1.5,-0.97,154.42
29,SMBMF,0.08,0.01,12.68,0.071
30,NPNYY,18.02,0.72,4.16,17.3
31,NSC,241.03,4.33,1.83,236.7
32,ODFL,264.14,3.18,1.22,260.96
33,R,80.1,1.61,2.05,78.49
34,SCBFF,7.9,0.15,1.94,7.75
35,KNX,48.84,-0.09,-0.18,48.93
36,COMP,6.01,0.65,12.13,5.36
37,MKSI,122.41,2.99,2.5,119.42
38,TFII,81.36,1.3,1.62,80.06
39,LLDTF,0.555,0.0,0.36,0.553012
40,CRDO,10.51,0.35,3.44,10.16
41,ACLS,62.39,2.43,4.05,59.96
42,CP,71.24,1.25,1.79,69.99
43,DNUT,14.82,0.22,1.51,14.6
44,UNP,222.5,2.51,1.14,219.99
45,AAWW,69.72,1.22,1.78,68.5
46,ON,61.14,1.81,3.05,59.33
47,CNI,114.06,1.53,1.36,112.53
48,ALE,61.97,0.27,0.44,61.7
49,ENTG,112.86,4.78,4.42,108.08
50,HTZ,20.1,0.81,4.2,19.29
51,ACIW,26.35,0.15,0.57,26.2
52,FWRD,94.15,0.21,0.22,93.94
53,MPWR,455.85,34.18,8.11,421.67
54,DAVE,2.31,0.02,0.87,2.29
55,FDX,219.67,7.38,3.48,212.29
56,HRI,121.13,4.53,3.89,116.6
57,CHRW,107.45,-0.16,-0.15,107.61
58,MATX,89.73,1.1,1.24,88.63
59,SGIOY,13.22,-0.11,-0.83,13.33
60,TBK,71.07,1.69,2.44,69.38
61,GPS,11.6,0.48,4.32,11.12
62,TUIFY,1.12,0.03,2.75,1.09
63,XPO,53.81,1.46,2.79,52.35
64,DXC,35.08,0.92,2.69,34.16
65,EXPI,14.49,0.81,5.92,13.68
66,FNF,42.29,0.68,1.63,41.61
67,FICO,410.92,9.3,2.32,401.62
68,UPS,182.53,4.15,2.33,178.38
69,CXMSF,0.41,-0.02,-3.53,0.425
70,WFG,91.01,-0.11,-0.12,91.12
71,VRRM,16.07,0.35,2.23,15.72
72,COLB,30.35,0.88,2.99,29.47
73,DIOD,77.39,3.48,4.71,73.91
74,RF,21.88,0.27,1.25,21.61
75,SITM,211.59,12.21,6.12,199.38
76,BRDG,19.38,0.25,1.31,19.13
77,AZO,2055.39,26.43,1.3,2028.96
78,AMAT,119.48,4.41,3.83,115.07
79,WEX,169.23,4.69,2.85,164.54
80,TNL,51.24,0.99,1.97,50.25
81,MXL,39.72,0.67,1.72,39.05
82,PCAR,85.67,1.53,1.82,84.14
83,EPAM,340.35,17.49,5.42,322.86
84,CF,95.72,-0.99,-1.02,96.71
85,LOGI,60.22,1.35,2.29,58.87
86,ZETA,8.26,0.41,5.22,7.85
87,LSCC,52.38,2.28,4.55,50.1
88,FAF,60.64,0.14,0.23,60.5
89,ALPMY,15.96,-0.11,-0.68,16.07
90,EXPD,110.65,1.94,1.78,108.71
91,CRI,77.24,0.05,0.06,77.19
92,VORB,4.73,-0.11,-2.27,4.84
93,CMPGY,23.065,0.25,1.07,22.82
94,GXO,54.76,1.11,2.07,53.65
95,FITB,39.11,0.5,1.3,38.61
96,MTB,180.8,3.05,1.72,177.75
97,TSCO,192.43,6.53,3.51,185.9
98,SEAS,55.28,0.64,1.17,54.64
99,TGDLF,1.7445,0.0,0.0,1.7445
100,FUTU,36.18,1.36,3.91,34.82
101,YMM,5.94,0.31,5.51,5.63
102,OLLI,48.19,1.9,4.1,46.29
103,NRGV,14.32,0.34,2.43,13.98
104,NEGG,4.54,0.12,2.71,4.42
105,SPWR,18.19,1.16,6.81,17.03
106,CZOO,1.44,-0.03,-2.04,1.47
107,ZNTL,24.75,2.42,10.84,22.33
108,KIND,2.88,0.09,3.23,2.79
109,NVNXF,2.725,0.0,0.0,2.725
