,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,TPTX,"Turning Point Therapeutics, Inc.",74.59,+40.43,+118.35%,30.392M,1.139M,3.705B,N/A,04/06/2022 02:25:57
1,STNE,StoneCo Ltd.,11.80,+1.38,+13.24%,30.941M,9.808M,3.638B,N/A,04/06/2022 02:25:57
2,AI,"C3.ai, Inc.",19.84,+2.22,+12.60%,12.578M,3.19M,2.108B,N/A,04/06/2022 02:25:57
3,ACAD,ACADIA Pharmaceuticals Inc.,17.90,+1.69,+10.43%,2.681M,1.672M,2.89B,N/A,04/06/2022 02:25:57
4,MRTX,"Mirati Therapeutics, Inc.",44.33,+4.07,+10.11%,3.88M,"983,944",2.462B,N/A,04/06/2022 02:25:57
5,PBF,PBF Energy Inc.,38.54,+3.06,+8.62%,4.556M,3.514M,4.657B,18.68,04/06/2022 02:25:57
6,BTEGF,Baytex Energy Corp.,6.08,+0.42,+7.42%,1.257M,"604,165",3.461B,2.59,04/06/2022 02:25:57
7,HPK,"HighPeak Energy, Inc.",35.05,+2.31,+7.06%,"586,274","553,628",3.67B,110.57,04/06/2022 02:25:57
8,APLS,"Apellis Pharmaceuticals, Inc.",45.53,+2.98,+7.00%,"860,099",1.218M,4.85B,N/A,04/06/2022 02:25:57
9,NEX,NexTier Oilfield Solutions Inc.,12.08,+0.79,+7.00%,4.534M,3.527M,2.948B,N/A,04/06/2022 02:25:57
10,WB,Weibo Corporation,22.45,+1.45,+6.90%,2.118M,1.139M,5.581B,16.80,04/06/2022 02:25:57
11,AEO,"American Eagle Outfitters, Inc.",12.79,+0.81,+6.76%,12.531M,7.107M,2.167B,7.47,04/06/2022 02:25:57
12,LBRT,Liberty Energy Inc.,18.13,+1.10,+6.46%,1.937M,2.404M,3.388B,N/A,04/06/2022 02:25:57
13,CVI,"CVR Energy, Inc.",39.14,+2.37,+6.45%,"909,969","872,423",3.935B,24.90,04/06/2022 02:25:57
14,LEGN,Legend Biotech Corporation,46.00,+2.75,+6.36%,"977,321","722,276",7.094B,N/A,04/06/2022 02:25:57
15,TBVPF,Thai Beverage Public Company Limited,0.5063,+0.0297,+6.23%,"22,850","33,457",12.719B,16.33,04/06/2022 02:25:57
16,DBX,"Dropbox, Inc.",22.82,+1.33,+6.19%,14.399M,3.521M,8.571B,24.17,04/06/2022 02:25:57
17,INSM,Insmed Incorporated,19.53,+1.09,+5.91%,"785,221",1.088M,2.334B,N/A,04/06/2022 02:25:57
18,ZLAB,Zai Lab Limited,30.39,+1.69,+5.89%,1.265M,"861,063",2.975B,N/A,04/06/2022 02:25:57
19,ENIC,Enel Chile S.A.,1.5100,+0.0800,+5.59%,"547,985","745,476",2.089B,3.77,04/06/2022 02:25:57
20,PTCT,"PTC Therapeutics, Inc.",28.67,+1.50,+5.52%,"778,293","603,473",2.045B,N/A,04/06/2022 02:25:57
21,FOLD,"Amicus Therapeutics, Inc.",8.19,+0.42,+5.41%,2.543M,3.772M,2.295B,N/A,04/06/2022 02:25:57
22,WFG,West Fraser Timber Co. Ltd.,94.26,+4.81,+5.38%,"998,404","382,238",9.367B,3.12,04/06/2022 02:25:57
23,CRSP,CRISPR Therapeutics AG,64.21,+3.21,+5.26%,1.994M,1.413M,4.974B,16.64,04/06/2022 02:25:57
24,DNA,"Ginkgo Bioworks Holdings, Inc.",3.6600,+0.1800,+5.17%,22.593M,22.858M,6.503B,N/A,04/06/2022 02:25:57
25,OKTA,"Okta, Inc.",98.38,+4.70,+5.02%,14.341M,3.162M,17.217B,N/A,04/06/2022 02:25:57
26,RELY,"Remitly Global, Inc.",12.33,+0.58,+4.94%,1.687M,1.234M,2.05B,N/A,04/06/2022 02:25:57
27,ITCI,"Intra-Cellular Therapies, Inc.",58.35,+2.69,+4.83%,"534,900","905,401",5.504B,N/A,04/06/2022 02:25:57
28,CHPT,"ChargePoint Holdings, Inc.",14.57,+0.67,+4.82%,19.066M,9.604M,4.919B,N/A,04/06/2022 02:25:57
29,ALNY,"Alnylam Pharmaceuticals, Inc.",131.52,+6.02,+4.80%,"648,056","821,458",15.889B,N/A,04/06/2022 02:25:57
30,BPMC,Blueprint Medicines Corporation,59.35,+2.63,+4.64%,1.028M,"626,480",3.536B,N/A,04/06/2022 02:25:57
31,DDS,"Dillard's, Inc.",324.41,+13.91,+4.48%,"198,570","237,558",5.911B,6.70,04/06/2022 02:25:57
32,DK,"Delek US Holdings, Inc.",31.75,+1.34,+4.41%,1.355M,1.441M,2.246B,N/A,04/06/2022 02:25:57
33,FEAM,5E Advanced Materials Inc.,27.30,+1.14,+4.36%,"823,422","128,735",11.971B,N/A,04/06/2022 02:25:57
34,BROS,Dutch Bros Inc.,41.71,+1.73,+4.33%,1.023M,2.313M,6.828B,N/A,04/06/2022 02:25:57
35,HRMY,"Harmony Biosciences Holdings, Inc.",44.69,+1.84,+4.29%,"271,116","547,176",2.639B,55.65,04/06/2022 02:25:57
36,ALLG,Allego N.V.,8.58,+0.35,+4.25%,"58,832",2.044M,2.277B,N/A,04/06/2022 02:25:57
37,NOV,NOV Inc.,21.01,+0.83,+4.11%,3.717M,4.468M,8.253B,N/A,04/06/2022 02:25:57
38,ZNH,China Southern Airlines Company Limited,28.99,+1.14,+4.09%,"52,450","18,931",15.298B,N/A,04/06/2022 02:25:57
39,SBLK,Star Bulk Carriers Corp.,32.51,+1.26,+4.03%,2.777M,2.571M,3.338B,4.07,04/06/2022 02:25:57
40,LKNCY,Luckin Coffee Inc.,12.19,+0.47,+4.01%,2.264M,2.041M,3.231B,24.63,04/06/2022 02:25:57
41,ERF,Enerplus Corporation,16.04,+0.61,+3.95%,2.718M,2.687M,3.857B,16.30,04/06/2022 02:25:57
42,ATKR,Atkore Inc.,116.81,+4.35,+3.87%,"428,032","476,760",5.036B,6.77,04/06/2022 02:25:57
43,GLPEY,"Galp Energia, SGPS, S.A.",6.49,+0.24,+3.84%,"25,453","39,723",10.764B,N/A,04/06/2022 02:25:57
44,NAPA,"The Duckhorn Portfolio, Inc.",20.83,+0.76,+3.79%,1.048M,"342,952",2.397B,42.95,04/06/2022 02:25:57
45,OAS,Oasis Petroleum Inc.,165.03,+5.97,+3.75%,"237,075","350,755",3.239B,4.08,04/06/2022 02:25:57
46,CYTK,"Cytokinetics, Incorporated",42.89,+1.53,+3.70%,"599,308","880,976",3.674B,N/A,04/06/2022 02:25:57
47,WLL,Whiting Petroleum Corporation,92.52,+3.30,+3.70%,"304,547","500,317",3.631B,9.41,04/06/2022 02:25:57
48,ARVN,"Arvinas, Inc.",44.25,+1.56,+3.65%,"631,615","490,190",2.353B,N/A,04/06/2022 02:25:57
49,PWR,"Quanta Services, Inc.",129.12,+4.55,+3.65%,1.746M,1.708M,18.556B,39.32,04/06/2022 02:25:57
50,CIVI,"Civitas Resources, Inc.",79.60,+2.76,+3.59%,"864,975","854,009",6.763B,15.86,04/06/2022 02:25:57
