,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,NVAX,"Novavax, Inc.",44.76,-11.21,-20.03%,23.178M,5.002M,3.497B,N/A,04/06/2022 02:25:57
1,HCP,"HashiCorp, Inc.",34.00,-7.27,-17.62%,4.626M,1.489M,6.265B,N/A,04/06/2022 02:25:57
2,CVNA,Carvana Co.,26.52,-3.56,-11.84%,9.388M,9.499M,4.71B,N/A,04/06/2022 02:25:57
3,KD,"Kyndryl Holdings, Inc.",11.45,-1.47,-11.38%,4.59M,2.114M,2.571B,N/A,04/06/2022 02:25:57
4,SHOP,Shopify Inc.,353.66,-45.21,-11.33%,4.969M,4.181M,44.234B,244.75,04/06/2022 02:25:57
5,DKNG,DraftKings Inc.,12.72,-1.54,-10.80%,28.943M,24.108M,5.563B,N/A,04/06/2022 02:25:57
6,RBLX,Roblox Corporation,30.00,-3.48,-10.39%,24.682M,28.249M,17.796B,N/A,04/06/2022 02:25:57
7,DOOO,BRP Inc.,71.69,-8.29,-10.37%,"267,887","134,009",5.502B,9.76,04/06/2022 02:25:57
8,TXG,"10x Genomics, Inc.",45.27,-4.95,-9.86%,1.39M,1.469M,5.132B,N/A,04/06/2022 02:25:57
9,COIN,"Coinbase Global, Inc.",66.69,-7.13,-9.66%,10.214M,9.683M,17.466B,6.82,04/06/2022 02:25:57
10,WIX,Wix.com Ltd.,59.14,-6.10,-9.35%,1.21M,1.317M,3.398B,N/A,04/06/2022 02:25:57
11,TSLA,"Tesla, Inc.",703.55,-71.45,-9.22%,37.465M,27.53M,728.885B,95.07,04/06/2022 02:25:57
12,ROKU,"Roku, Inc.",87.28,-8.57,-8.94%,6.504M,6.401M,13.033B,87.11,04/06/2022 02:25:57
13,SPT,"Sprout Social, Inc.",53.89,-5.25,-8.88%,"670,518","677,926",2.934B,N/A,04/06/2022 02:25:57
14,GTLB,GitLab Inc.,40.93,-3.97,-8.84%,1.627M,1.82M,6.042B,N/A,04/06/2022 02:25:57
15,W,Wayfair Inc.,58.30,-5.47,-8.58%,3.84M,3.672M,6.136B,N/A,04/06/2022 02:25:57
16,GH,"Guardant Health, Inc.",38.03,-3.41,-8.23%,1.15M,1.4M,3.876B,N/A,04/06/2022 02:25:57
17,SES,SES AI Corporation,6.08,-0.54,-8.16%,"444,275","853,426",2.115B,N/A,04/06/2022 02:25:57
18,NKLA,Nikola Corporation,6.66,-0.59,-8.14%,10.925M,13.375M,3.004B,N/A,04/06/2022 02:25:57
19,FSR,Fisker Inc.,9.71,-0.80,-7.61%,6.967M,6.731M,2.886B,N/A,04/06/2022 02:25:57
20,SGHC,Super Group (SGHC) Limited,6.38,-0.51,-7.40%,"273,860","382,553",3.127B,10.89,04/06/2022 02:25:57
21,WMMVF,"Wal-Mart de México, S.A.B. de C.V.",3.4500,-0.2700,-7.26%,"23,421","70,684",61.488B,26.14,04/06/2022 02:25:57
22,ETSY,"Etsy, Inc.",80.98,-6.31,-7.23%,3.927M,4.725M,10.294B,26.99,04/06/2022 02:25:57
23,BCCLF,"Becle, S.A.B. de C.V.",2.1200,-0.1650,-7.22%,"25,831","17,907",7.613B,29.04,04/06/2022 02:25:57
24,MU,"Micron Technology, Inc.",69.94,-5.43,-7.20%,30.307M,21.845M,78.1B,8.80,04/06/2022 02:25:57
25,EXAS,Exact Sciences Corporation,47.55,-3.67,-7.17%,2.006M,2.027M,8.366B,N/A,04/06/2022 02:25:57
26,FTCH,Farfetch Limited,8.85,-0.68,-7.14%,13.088M,11.958M,3.375B,N/A,04/06/2022 02:25:57
27,AAL,American Airlines Group Inc.,16.22,-1.24,-7.10%,45.896M,40.267M,10.535B,N/A,04/06/2022 02:25:57
28,MSTR,MicroStrategy Incorporated,227.22,-17.24,-7.05%,"499,226","722,804",2.567B,N/A,04/06/2022 02:25:57
29,UPWK,Upwork Inc.,18.54,-1.38,-6.93%,"807,540",1.371M,2.404B,N/A,04/06/2022 02:25:57
30,CRWD,"CrowdStrike Holdings, Inc.",162.10,-11.92,-6.85%,9.303M,5.459M,37.61B,N/A,04/06/2022 02:25:57
31,TWLO,Twilio Inc.,101.74,-7.47,-6.84%,3.021M,3.714M,18.484B,N/A,04/06/2022 02:25:57
32,RLLCF,Rolls-Royce Holdings plc,0.0075,-0.0006,-6.83%,2.064M,2.706M,163.505B,0.42,04/06/2022 02:25:57
33,TELL,Tellurian Inc.,4.6600,-0.3400,-6.80%,12.188M,23.671M,2.648B,N/A,04/06/2022 02:25:57
34,DASH,"DoorDash, Inc.",68.04,-4.93,-6.76%,5.567M,6.009M,23.899B,N/A,04/06/2022 02:25:57
35,KRNT,Kornit Digital Ltd.,40.63,-2.94,-6.75%,"285,195","624,690",2.019B,372.75,04/06/2022 02:25:57
36,VSCO,Victoria's Secret & Co.,41.50,-2.99,-6.72%,1.972M,1.413M,3.468B,6.73,04/06/2022 02:25:57
37,ASAN,"Asana, Inc.",22.51,-1.60,-6.64%,11.457M,5.351M,4.279B,N/A,04/06/2022 02:25:57
38,AMRC,"Ameresco, Inc.",59.40,-4.22,-6.63%,"260,954","456,561",3.077B,41.14,04/06/2022 02:25:57
39,FLYW,Flywire Corporation,19.47,-1.38,-6.62%,1.022M,"880,888",2.087B,N/A,04/06/2022 02:25:57
40,RNG,"RingCentral, Inc.",63.54,-4.44,-6.53%,1.36M,1.563M,6.03B,N/A,04/06/2022 02:25:57
41,ANGI,Angi Inc.,5.45,-0.38,-6.52%,1.626M,1.672M,2.913B,N/A,04/06/2022 02:25:57
42,NUVA,"NuVasive, Inc.",53.53,-3.70,-6.47%,"509,576","543,746",2.786B,N/A,04/06/2022 02:25:57
43,LCID,"Lucid Group, Inc.",18.67,-1.29,-6.46%,18.145M,23.384M,31.139B,N/A,04/06/2022 02:25:57
44,AMC,"AMC Entertainment Holdings, Inc.",12.45,-0.85,-6.39%,38.854M,52.27M,6.391B,N/A,04/06/2022 02:25:57
45,AMBA,"Ambarella, Inc.",82.99,-5.66,-6.38%,"587,910","656,141",3.16B,N/A,04/06/2022 02:25:57
46,TTD,"The Trade Desk, Inc.",51.15,-3.46,-6.34%,4.895M,6.728M,26.558B,253.22,04/06/2022 02:25:57
47,PII,Polaris Inc.,100.00,-6.75,-6.32%,"767,974","798,479",5.95B,14.45,04/06/2022 02:25:57
