,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
0,AMD,"Advanced Micro Devices, Inc.",106.30,-2.29,-2.11%,110.772M,110.142M,184.803B,39.89,04/06/2022 02:25:57
1,AAPL,Apple Inc.,145.38,-5.83,-3.86%,88.57M,98.103M,2.353T,23.69,04/06/2022 02:25:57
2,NIO,NIO Inc.,18.08,-0.77,-4.08%,57.34M,76.769M,30.203B,N/A,04/06/2022 02:25:57
3,NVDA,NVIDIA Corporation,187.20,-8.72,-4.45%,56.752M,58.384M,466.502B,50.20,04/06/2022 02:25:57
4,NU,Nu Holdings Ltd.,4.5000,+0.0600,+1.35%,54.405M,23.954M,20.745B,N/A,04/06/2022 02:25:57
5,DIDI,DiDi Global Inc.,1.8500,-0.0600,-3.14%,49.602M,60.101M,8.98B,N/A,04/06/2022 02:25:57
6,ITUB,Itaú Unibanco Holding S.A.,5.33,-0.04,-0.74%,32.564M,48.395M,52.127B,8.99,04/06/2022 02:25:57
7,AAL,American Airlines Group Inc.,16.22,-1.24,-7.10%,45.896M,40.267M,10.535B,N/A,04/06/2022 02:25:57
8,F,Ford Motor Company,13.50,-0.39,-2.81%,42.373M,66.152M,54.267B,4.70,04/06/2022 02:25:57
9,AMC,"AMC Entertainment Holdings, Inc.",12.45,-0.85,-6.39%,38.854M,52.27M,6.391B,N/A,04/06/2022 02:25:57
10,SWN,Southwestern Energy Company,9.15,-0.22,-2.35%,34.488M,35.571M,10.459B,N/A,04/06/2022 02:25:57
11,TSLA,"Tesla, Inc.",703.55,-71.45,-9.22%,37.465M,27.53M,728.885B,95.07,04/06/2022 02:25:57
12,PLTR,Palantir Technologies Inc.,8.94,-0.36,-3.87%,35.392M,42.687M,18.297B,N/A,04/06/2022 02:25:57
13,SNAP,Snap Inc.,14.49,-0.41,-2.75%,34.129M,39.344M,23.71B,N/A,04/06/2022 02:25:57
14,INTC,Intel Corporation,43.39,-1.45,-3.23%,33.175M,34.575M,180.358B,7.20,04/06/2022 02:25:57
15,STNE,StoneCo Ltd.,11.80,+1.38,+13.24%,30.941M,9.808M,3.638B,N/A,04/06/2022 02:25:57
16,MU,"Micron Technology, Inc.",69.94,-5.43,-7.20%,30.307M,21.845M,78.1B,8.80,04/06/2022 02:25:57
17,TPTX,"Turning Point Therapeutics, Inc.",74.59,+40.43,+118.35%,30.392M,1.139M,3.705B,N/A,04/06/2022 02:25:57
18,NOK,Nokia Oyj,5.04,-0.05,-0.98%,29.662M,30.886M,28.394B,16.86,04/06/2022 02:25:57
19,SOFI,"SoFi Technologies, Inc.",6.98,-0.44,-5.93%,29.389M,51.668M,5.581B,N/A,04/06/2022 02:25:57
20,DKNG,DraftKings Inc.,12.72,-1.54,-10.80%,28.943M,24.108M,5.563B,N/A,04/06/2022 02:25:57
21,PBR,Petróleo Brasileiro S.A. - Petrobras,14.18,+0.43,+3.13%,28.518M,31.185M,92.483B,2.97,04/06/2022 02:25:57
22,AUY,Yamana Gold Inc.,5.68,-0.19,-3.24%,28.287M,23.848M,5.459B,37.87,04/06/2022 02:25:57
23,MSFT,Microsoft Corporation,270.02,-4.56,-1.66%,28.059M,33M,2.019T,28.19,04/06/2022 02:25:57
24,T,AT&T Inc.,20.90,-0.29,-1.37%,27.223M,54.797M,149.623B,8.79,04/06/2022 02:25:57
25,MNDT,"Mandiant, Inc.",21.79,-0.35,-1.58%,27.727M,7.63M,5.14B,5.99,04/06/2022 02:25:57
26,CCL,Carnival Corporation & plc,13.51,-0.55,-3.91%,26.898M,37.601M,15.88B,N/A,04/06/2022 02:25:57
27,PCG,PG&E Corporation,12.40,-0.17,-1.35%,25.774M,20.391M,24.645B,101.64,04/06/2022 02:25:57
28,VALE,Vale S.A.,18.54,-0.27,-1.44%,25.578M,36.92M,87.886B,3.88,04/06/2022 02:25:57
29,BAC,Bank of America Corporation,36.19,-0.51,-1.39%,25.035M,52.04M,291.578B,10.30,04/06/2022 02:25:57
30,RBLX,Roblox Corporation,30.00,-3.48,-10.39%,24.682M,28.249M,17.796B,N/A,04/06/2022 02:25:57
31,NLY,"Annaly Capital Management, Inc.",6.62,-0.03,-0.45%,24.318M,29.513M,9.672B,3.74,04/06/2022 02:25:57
32,UBER,"Uber Technologies, Inc.",24.15,-0.59,-2.38%,24.284M,34.767M,47.422B,N/A,04/06/2022 02:25:57
33,ABEV,Ambev S.A.,2.8900,-0.0400,-1.37%,23.91M,26.873M,46.31B,16.15,04/06/2022 02:25:57
34,OXY,Occidental Petroleum Corporation,70.29,+0.99,+1.43%,23.398M,34.568M,65.875B,10.51,04/06/2022 02:25:57
35,NVAX,"Novavax, Inc.",44.76,-11.21,-20.03%,23.178M,5.002M,3.497B,N/A,04/06/2022 02:25:57
36,DNA,"Ginkgo Bioworks Holdings, Inc.",3.6600,+0.1800,+5.17%,22.593M,22.858M,6.503B,N/A,04/06/2022 02:25:57
37,BBD,Banco Bradesco S.A.,4.1000,-0.0400,-0.97%,21.928M,36.522M,43.7B,8.76,04/06/2022 02:25:57
38,XOM,Exxon Mobil Corporation,99.09,+1.42,+1.45%,20.77M,30.596M,417.486B,16.43,04/06/2022 02:25:57
39,PBR-A,Petróleo Brasileiro S.A. - Petrobras,12.64,+0.29,+2.35%,17.531M,15.12M,88.402B,2.65,04/06/2022 02:25:57
40,CMCSA,Comcast Corporation,42.93,-0.87,-1.99%,19.671M,22.965M,192.327B,13.80,04/06/2022 02:25:57
41,FB,"Meta Platforms, Inc.",190.78,-8.08,-4.06%,19.465M,32.669M,516.312B,14.44,04/06/2022 02:25:57
42,CHPT,"ChargePoint Holdings, Inc.",14.57,+0.67,+4.82%,19.066M,9.604M,4.919B,N/A,04/06/2022 02:25:57
43,KGC,Kinross Gold Corporation,4.5500,-0.1400,-2.99%,13.683M,19.575M,5.911B,N/A,04/06/2022 02:25:57
44,BEKE,KE Holdings Inc.,14.30,-0.40,-2.72%,18.117M,21.174M,18.081B,N/A,04/06/2022 02:25:57
45,LCID,"Lucid Group, Inc.",18.67,-1.29,-6.46%,18.145M,23.384M,31.139B,N/A,04/06/2022 02:25:57
46,PFE,Pfizer Inc.,53.20,+0.52,+0.99%,16.435M,27.167M,298.5B,12.19,04/06/2022 02:25:57
47,CSCO,"Cisco Systems, Inc.",45.25,-0.54,-1.18%,17.944M,24.1M,187.378B,15.88,04/06/2022 02:25:57
48,TWTR,"Twitter, Inc.",40.16,+0.25,+0.63%,18.063M,53.111M,30.69B,143.43,04/06/2022 02:25:57
49,TLRY,"Tilray Brands, Inc.",4.2000,-0.2400,-5.41%,17.549M,35.787M,2.09B,43.75,04/06/2022 02:25:57
50,C,Citigroup Inc.,51.33,-1.10,-2.10%,15.669M,26.054M,99.679B,6.03,04/06/2022 02:25:57
51,GFI,Gold Fields Limited,9.70,-0.42,-4.15%,15.813M,8.606M,8.646B,11.09,04/06/2022 02:25:57
52,GRAB,Grab Holdings Limited,2.5400,-0.0900,-3.42%,15.888M,22.893M,9.753B,N/A,04/06/2022 02:25:57
53,BABA,Alibaba Group Holding Limited,93.21,-4.29,-4.40%,14.006M,34.181M,254.68B,27.31,04/06/2022 02:25:57
54,NCLH,Norwegian Cruise Line Holdings Ltd.,15.63,-0.45,-2.80%,14.881M,20.873M,6.551B,N/A,04/06/2022 02:25:57
55,DAL,"Delta Air Lines, Inc.",38.54,-1.45,-3.63%,14.804M,15.588M,24.706B,47.94,04/06/2022 02:25:57
56,CPG,Crescent Point Energy Corp.,9.61,+0.19,+2.02%,14.662M,10.427M,5.503B,2.03,04/06/2022 02:25:57
57,WBD,"Warner Bros. Discovery, Inc.",17.50,-0.50,-2.78%,14.605M,19.26M,42.47B,9.69,04/06/2022 02:25:57
58,VRT,Vertiv Holdings Co,10.87,+0.01,+0.09%,14.491M,4.919M,4.095B,"5,435.00",04/06/2022 02:25:57
