,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,HCM,HUTCHMED (China) Limited,12.23,-2.86,-18.95%,1.099M,"438,833",2.115B,N/A
1,CIG-C,Companhia Energética de Minas Gerais,3.4600,-0.4707,-11.98%,"92,601","129,908",6.407B,7.12
2,ALLG,Allego N.V.,11.21,-1.33,-10.61%,"401,914",2.325M,2.975B,N/A
3,WEGZY,WEG S.A.,5.75,-0.67,-10.44%,"34,331","51,073",24.129B,33.24
4,SAVE,"Spirit Airlines, Inc.",21.40,-2.21,-9.36%,9.689M,5.604M,2.324B,N/A
5,GPN,Global Payments Inc.,124.36,-12.62,-9.21%,7.135M,1.987M,35.03B,37.80
6,CIG,Companhia Energética de Minas Gerais,2.6500,-0.2507,-8.64%,9.604M,5.96M,6.575B,5.45
7,YAHOY,Z Holdings Corporation,7.14,-0.64,-8.23%,"169,753","191,391",27.27B,47.60
8,GOL,Gol Linhas Aéreas Inteligentes S.A.,5.59,-0.48,-7.91%,3.443M,2.061M,8.879B,N/A
9,NXRT,"NexPoint Residential Trust, Inc.",82.13,-7.03,-7.88%,"234,806","111,338",4.067B,92.28
10,DIFTY,"Daito Trust Construction Co.,Ltd.",22.67,-1.83,-7.47%,"57,542","32,070",6.17B,11.56
11,LMDX,LumiraDx Limited,4.4300,-0.3500,-7.32%,"66,625","65,991",2.039B,N/A
12,ABLZF,ABB Ltd,28.87,-2.23,-7.17%,"108,924","37,230",57.785B,12.83
13,VWDRY,Vestas Wind Systems A/S,7.97,-0.60,-6.95%,"516,053","864,438",24.042B,136.68
14,UGP,Ultrapar Participações S.A.,2.4900,-0.1800,-6.74%,2.586M,1.221M,2.822B,15.86
15,MRRTY,Marfrig Global Foods S.A.,3.6800,-0.2600,-6.60%,"64,365","25,878",2.443B,2.83
16,BDRAF,Bombardier Inc.,1.0500,-0.0720,-6.42%,"196,381","14,396",2.223B,0.52
17,AMN,"AMN Healthcare Services, Inc.",91.59,-6.16,-6.30%,1.982M,"654,296",4.21B,13.45
18,CSAN,Cosan S.A.,15.94,-1.04,-6.12%,"190,934","171,926",7.446B,5.92
19,SES,SES AI Corporation,6.05,-0.39,-6.06%,"451,164","840,606",2.105B,N/A
20,PILBF,Pilbara Minerals Limited,1.8890,-0.1210,-6.02%,"88,840","135,676",5.666B,94.45
21,WE,WeWork Inc.,6.60,-0.41,-5.85%,6.876M,4.136M,5.232B,N/A
22,BRFS,BRF S.A.,2.6400,-0.1600,-5.71%,3.999M,3.755M,2.861B,25.14
23,SMNEY,Siemens Energy AG,17.99,-1.09,-5.71%,"41,460","31,226",12.906B,N/A
24,CWST,"Casella Waste Systems, Inc.",77.58,-4.66,-5.67%,"545,322","362,550",4.006B,96.97
25,BDORY,Banco do Brasil S.A.,6.34,-0.38,-5.65%,"157,685","458,986",18.091B,4.57
26,IRM,Iron Mountain Incorporated,50.70,-3.03,-5.64%,2.643M,1.839M,14.731B,32.71
27,EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.99,-0.47,-5.56%,"23,906","36,499",12.536B,11.14
28,CNA,CNA Financial Corporation,44.88,-2.56,-5.40%,"289,421","184,415",12.172B,10.18
29,BTU,Peabody Energy Corporation,21.42,-1.22,-5.39%,10.96M,11.513M,2.962B,6.66
30,UNVGY,Universal Music Group N.V.,11.25,-0.64,-5.38%,"59,685","67,406",40.798B,43.69
31,BBSEY,BB Seguridade Participações S.A.,4.8600,-0.2750,-5.36%,"47,832","97,390",9.704B,12.18
32,ELUXY,AB Electrolux (publ),29.00,-1.63,-5.32%,"35,792","49,041",4.031B,8.81
33,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.85,-0.44,-5.31%,1.99M,1.86M,12.316B,10.95
34,FOJCY,Fortum Oyj,3.2300,-0.1800,-5.28%,"20,771","16,221",14.346B,18.46
35,IITSF,Intesa Sanpaolo S.p.A.,1.9900,-0.1100,-5.24%,"32,163","28,900",38.543B,8.73
36,NATI,National Instruments Corporation,34.25,-1.89,-5.23%,1.87M,"542,323",4.522B,51.12
37,BMRPF,B&M European Value Retail S.A.,6.00,-0.33,-5.21%,"35,684","11,969",6.011B,11.10
38,BML-PG,Bank of America Corporation,18.72,-1.01,-5.12%,"49,290","8,822",252.782B,5.24
39,CGAU,Centerra Gold Inc.,8.78,-0.47,-5.08%,"113,248","97,035",2.621B,N/A
40,NTCO,Natura &Co Holding S.A.,7.14,-0.38,-5.05%,2.068M,1.89M,4.908B,23.49
41,SID,Companhia Siderúrgica Nacional,4.0000,-0.2100,-4.99%,8.936M,6.433M,5.511B,2.22
42,DNNGY,Ørsted A/S,35.34,-1.85,-4.97%,"81,591","76,326",44.547B,30.93
43,SSRM,SSR Mining Inc.,20.92,-1.09,-4.95%,3.75M,2.172M,4.458B,12.80
44,BBDO,Banco Bradesco S.A.,2.8800,-0.1500,-4.95%,"47,917","26,301",37.952B,6.56
45,DNP,DNP Select Income Fund Inc.,11.16,-0.58,-4.94%,2.703M,"566,965",3.852B,7.35
46,EGP,"EastGroup Properties, Inc.",178.29,-9.21,-4.91%,"664,251","256,930",7.431B,45.72
47,DDAIF,Mercedes-Benz Group AG,65.79,-3.36,-4.86%,"41,140","34,803",70.385B,2.90
48,MCO,Moody's Corporation,301.13,-15.35,-4.85%,2.972M,1.01M,55.823B,25.56
49,OPCH,"Option Care Health, Inc.",28.44,-1.44,-4.82%,1.047M,"767,858",5.131B,36.94
50,AMTD,AMTD IDEA Group,2.1900,-0.1100,-4.78%,"38,380","235,978",3.241B,3.78
51,TRNO,Terreno Realty Corporation,69.28,-3.47,-4.77%,"548,755","355,371",5.233B,56.33
52,CVT,Cvent Holding Corp.,6.71,-0.33,-4.69%,"143,619","313,960",3.228B,N/A
53,IFNNF,Infineon Technologies AG,27.51,-1.35,-4.67%,"33,927","8,656",35.805B,25.29
54,GGB,Gerdau S.A.,5.41,-0.26,-4.59%,21.885M,12.558M,9.228B,2.96
55,CPE,Callon Petroleum Company,48.93,-2.34,-4.56%,3.432M,2.027M,3.009B,6.74
56,FCFS,"FirstCash Holdings, Inc",76.16,-3.62,-4.54%,"528,391","327,280",3.693B,25.05
57,EURN,Euronav NV,11.30,-0.53,-4.48%,1.96M,2.257M,2.279B,N/A
58,IRT,"Independence Realty Trust, Inc.",26.04,-1.22,-4.48%,3.536M,4.914M,5.941B,63.51
59,PLD,"Prologis, Inc.",153.13,-7.16,-4.47%,5.796M,3.007M,113.357B,38.84
60,ANGPY,Anglo American Platinum Limited,17.77,-0.82,-4.41%,"22,770","35,821",28.218B,5.68
61,GME,GameStop Corp.,119.57,-5.50,-4.40%,2.518M,4.276M,9.128B,N/A
62,ATEYY,Advantest Corporation,65.93,-2.99,-4.34%,"22,227","18,555",12.527B,17.89
63,SHCAY,Sharp Corporation,2.0100,-0.0900,-4.29%,"114,912","80,326",4.916B,7.69
64,BOUYY,Bouygues SA,6.51,-0.29,-4.26%,"29,642","114,988",12.296B,10.47
65,PBR-A,Petróleo Brasileiro S.A. - Petrobras,11.75,-0.52,-4.24%,17.357M,14.862M,67.492B,3.55
66,CBZ,"CBIZ, Inc.",40.12,-1.77,-4.23%,"326,417","207,220",2.104B,30.39
67,FINMF,Leonardo S.p.a.,10.00,-0.44,-4.21%,"60,555","2,836",5.752B,9.31
68,HLMN,Hillman Solutions Corp.,11.14,-0.49,-4.21%,1.825M,1.121M,2.163B,N/A
69,AMR,"Alpha Metallurgical Resources, Inc.",148.23,-6.51,-4.21%,"441,439","539,171",2.749B,9.69
70,ELP,Companhia Paranaense de Energia - COPEL,6.44,-0.28,-4.21%,1.317M,1.236M,17.623B,17.60
71,CPT,Camden Property Trust,150.36,-6.53,-4.16%,"860,426",1.366M,16.017B,50.76
72,PBR,Petróleo Brasileiro S.A. - Petrobras,13.01,-0.56,-4.13%,41.096M,31.974M,84.854B,3.93
73,VRTX,Vertex Pharmaceuticals Incorporated,261.96,-11.26,-4.12%,3.7M,1.58M,66.94B,29.07
74,MTNOY,MTN Group Limited,10.19,-0.44,-4.12%,"33,736","48,200",18.418B,21.91
75,IVPAF,Ivanhoe Mines Ltd.,7.68,-0.33,-4.12%,"297,859","151,913",9.329B,166.96
76,NSA,National Storage Affiliates Trust,54.31,-2.29,-4.05%,1.062M,"616,686",7.075B,55.19
77,SKHHY,Sonic Healthcare Limited,25.47,-1.05,-3.98%,"54,076","54,771",12.224B,11.94
78,CPA,"Copa Holdings, S.A.",72.40,-2.97,-3.94%,"740,143","497,370",3.036B,70.36
79,HELE,Helen of Troy Limited,206.08,-8.43,-3.93%,"233,032","152,265",4.974B,24.51
80,KYOCY,Kyocera Corporation,51.79,-2.09,-3.88%,"71,115","32,673",18.588B,16.65
81,NXE,NexGen Energy Ltd.,4.7400,-0.1900,-3.85%,2.454M,2.454M,2.278B,N/A
82,CIGI,Colliers International Group Inc.,106.04,-4.21,-3.82%,"206,630","95,620",4.715B,N/A
83,ENGQF,ENGIE SA,11.60,-0.46,-3.81%,"36,106","15,540",28.113B,7.58
84,AUY,Yamana Gold Inc.,5.30,-0.21,-3.81%,26.073M,20.755M,5.118B,35.33
85,JBSAY,JBS S.A.,14.90,-0.59,-3.81%,"65,882","184,946",16.724B,4.46
86,TKGBY,Turkiye Garanti Bankasi A.S.,0.9427,-0.0373,-3.80%,"58,801","37,693",4.086B,N/A
87,AAIGF,AIA Group Limited,9.62,-0.38,-3.78%,"37,013","66,030",115.902B,15.64
88,RYN,Rayonier Inc.,41.57,-1.63,-3.77%,"811,277","581,826",6.196B,38.46
89,ULCC,"Frontier Group Holdings, Inc.",10.21,-0.40,-3.77%,3.453M,2.741M,2.221B,N/A
90,CLH,"Clean Harbors, Inc.",101.02,-3.91,-3.73%,"357,587","490,285",5.579B,27.23
91,EXR,Extra Space Storage Inc.,182.95,-7.05,-3.71%,1.417M,"677,341",25.756B,29.54
92,VIV,Telefônica Brasil S.A.,10.19,-0.39,-3.70%,1.916M,1.886M,17.088B,13.59
93,COVTY,Covestro AG,20.57,-0.78,-3.68%,"113,626","98,178",7.946B,4.66
94,AAT,"American Assets Trust, Inc.",35.26,-1.34,-3.66%,"320,400","293,055",2.804B,74.55
95,HSY,The Hershey Company,217.53,-8.24,-3.65%,1.482M,1.07M,44.725B,30.59
96,LFG,Archaea Energy Inc.,21.20,-0.80,-3.64%,"906,240",1.085M,2.456B,N/A
97,TR,"Tootsie Roll Industries, Inc.",33.77,-1.26,-3.60%,"133,788","107,099",3.213B,35.89
98,INVH,Invitation Homes Inc.,38.39,-1.43,-3.59%,5.037M,5.049M,23.528B,85.31
99,OROCF,Allkem Limited,8.24,-0.31,-3.57%,"36,904","44,440",5.353B,N/A
