,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,AAPL,Apple Inc.,157.96,+0.31,+0.20%,122.256M,88.744M,2.578T,26.26
1,AMD,"Advanced Micro Devices, Inc.",89.84,+4.32,+5.05%,96.35M,102.836M,146.202B,34.96
2,T,AT&T Inc.,19.12,+0.26,+1.38%,67.439M,59.841M,136.88B,6.92
3,F,Ford Motor Company,14.27,+0.11,+0.78%,63.656M,78.392M,57.362B,3.21
4,ITUB,Itaú Unibanco Holding S.A.,4.6400,-0.1465,-3.06%,57.55M,46.887M,45.379B,8.42
5,NOK,Nokia Oyj,5.13,+0.11,+2.21%,55.743M,28.52M,29.37B,16.88
6,NIO,NIO Inc.,17.50,+0.80,+4.79%,55.7M,71.174M,34.59B,N/A
7,NVDA,NVIDIA Corporation,195.33,+9.86,+5.32%,57.056M,53.897M,486.762B,50.74
8,FB,"Meta Platforms, Inc.",211.13,+10.66,+5.32%,49.456M,40.949M,571.385B,15.33
9,BAC,Bank of America Corporation,36.14,+0.46,+1.29%,45.834M,53.419M,291.364B,10.12
10,UBER,"Uber Technologies, Inc.",30.39,-1.09,-3.46%,44.396M,33.134M,59.411B,N/A
11,SOFI,"SoFi Technologies, Inc.",6.33,+0.21,+3.43%,43.581M,55.856M,5.062B,N/A
12,PLTR,Palantir Technologies Inc.,10.74,+0.34,+3.27%,40.777M,47.442M,21.986B,N/A
13,PBR,Petróleo Brasileiro S.A. - Petrobras,13.01,-0.56,-4.13%,41.096M,31.974M,84.854B,3.93
14,INTC,Intel Corporation,44.96,+1.37,+3.14%,44.596M,36.202M,183.828B,9.25
15,VALE,Vale S.A.,16.39,-0.50,-2.96%,39.871M,37.613M,77.986B,3.35
16,VICI,VICI Properties Inc.,29.05,-0.76,-2.55%,35.876M,9.711M,21.741B,16.51
17,OXY,Occidental Petroleum Corporation,58.30,+3.21,+5.83%,37.753M,35.424M,54.622B,37.09
18,XOM,Exxon Mobil Corporation,86.41,+1.16,+1.36%,33.158M,31.607M,365.825B,16.03
19,BBD,Banco Bradesco S.A.,3.4800,-0.1200,-3.33%,36.31M,38.339M,40.687B,7.93
20,CMCSA,Comcast Corporation,40.45,+0.69,+1.74%,35.816M,22.254M,181.216B,13.31
21,ABEV,Ambev S.A.,2.8200,-0.0900,-3.09%,34.267M,24.424M,45.188B,17.41
22,NLY,"Annaly Capital Management, Inc.",6.51,+0.09,+1.40%,34.771M,25.09M,9.511B,4.07
23,CCL,Carnival Corporation & plc,17.35,+0.05,+0.29%,34.081M,37.387M,20.394B,N/A
24,VZ,Verizon Communications Inc.,46.23,-0.07,-0.15%,33.11M,25.23M,194.149B,8.69
25,AAL,American Airlines Group Inc.,18.56,-0.21,-1.12%,32.549M,44.511M,12.055B,N/A
26,TWTR,"Twitter, Inc.",49.14,+0.12,+0.24%,30.568M,50.978M,37.522B,N/A
