,Symbol,Name,Price,Market Time,Change,Change %,Volume,Market cap
0,DVN,Devon Energy Corporation,58.35,4:00PM EDT,+0.18,+0.31%,11.303M,38.536B
1,EXPE,"Expedia Group, Inc.",174.81,4:00PM EDT,+0.06,+0.03%,4.722M,28.427B
2,SOS,SOS Limited,0.5900,4:00PM EDT,+0.1678,+39.74%,156.704M,145.415M
3,CAR,"Avis Budget Group, Inc.",280.56,4:00PM EDT,+12.89,+4.82%,1.681M,13.969B
4,MGM,MGM Resorts International,41.97,4:00PM EDT,+0.93,+2.27%,5.862M,18.271B
5,CHGG,"Chegg, Inc.",24.98,4:00PM EDT,+0.24,+0.97%,6.712M,3.165B
6,NTR,Nutrien Ltd.,99.21,4:00PM EDT,+0.96,+0.98%,4.152M,54.999B
7,AVAV,"AeroVironment, Inc.",85.73,4:00PM EDT,+5.41,+6.74%,"451,880",2.136B
8,MOS,The Mosaic Company,62.40,4:03PM EDT,-0.02,-0.03%,7.913M,22.588B
9,AMD,"Advanced Micro Devices, Inc.",89.84,4:00PM EDT,+4.32,+5.05%,96.35M,146.202B
10,ATVI,"Activision Blizzard, Inc.",78.06,4:00PM EDT,+2.46,+3.25%,14.695M,60.831B
11,BTTX,"Better Therapeutics, Inc.",2.0100,4:00PM EDT,+1.0980,+120.39%,58.394M,47.453M
12,ZI,ZoomInfo Technologies Inc.,49.20,4:00PM EDT,+1.80,+3.80%,5.106M,19.847B
13,NVAX,"Novavax, Inc.",53.75,4:00PM EDT,+8.68,+19.26%,8.675M,4.1B
14,FIVN,"Five9, Inc.",116.07,4:00PM EDT,+5.97,+5.42%,1.691M,8.074B
15,CLX,The Clorox Company,143.28,4:00PM EDT,-0.19,-0.13%,1.908M,17.632B
16,PUNK,Subversive Metaverse ETF,21.21,3:55PM EDT,+0.59,+2.89%,"2,283",N/A
17,FANG,"Diamondback Energy, Inc.",127.50,4:00PM EDT,+1.27,+1.01%,2.288M,22.638B
18,NXPI,NXP Semiconductors N.V.,177.00,4:00PM EDT,+6.10,+3.57%,2.765M,46.472B
19,UPST,"Upstart Holdings, Inc.",83.60,4:00PM EDT,+8.58,+11.44%,7.377M,7.077B
20,SAVE,"Spirit Airlines, Inc.",21.40,4:00PM EDT,-2.21,-9.36%,9.746M,2.324B
21,ANET,"Arista Networks, Inc.",118.26,4:00PM EDT,+2.69,+2.33%,2.983M,36.341B
22,ASTS,"AST SpaceMobile, Inc.",7.96,4:00PM EDT,+0.43,+5.71%,"693,709",1.446B
23,CTRA,Coterra Energy Inc.,28.92,4:05PM EDT,+0.13,+0.45%,9.917M,23.454B
24,MEG.TO,MEG Energy Corp.,19.46,4:00PM EDT,+0.16,+0.83%,2.766M,5.975B
25,RIG,Transocean Ltd.,3.7200,4:00PM EDT,-0.0400,-1.06%,14.891M,2.534B
26,SOUN,"SoundHound AI, Inc.",10.95,4:00PM EDT,+4.45,+68.46%,17.426M,2.136B
27,^TNX,Treasury Yield 10 Years,2.9960,2:59PM EDT,+0.1090,+3.78%,0,N/A
28,SEDG,"SolarEdge Technologies, Inc.",255.31,4:00PM EDT,+4.90,+1.96%,1.054M,14.072B
29,ON,ON Semiconductor Corporation,55.62,4:00PM EDT,+3.51,+6.74%,11.344M,24.159B
