,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,UNEGF,United Energy Group Limited,0.1210,+0.0230,+23.47%,"39,177","3,309",3.516B,17.29
1,YMM,Full Truck Alliance Co. Ltd.,6.03,+1.03,+20.60%,11.626M,7.365M,6.684B,N/A
2,DLPTF,"Liaoning Port Co., Ltd.",0.0938,+0.0144,+18.21%,"19,700",177,6.133B,7.22
3,FRGE,"Forge Global Holdings, Inc.",18.90,+2.59,+15.88%,1.723M,1.229M,3.198B,N/A
4,NUTX,"Nutex Health, Inc.",9.42,+1.28,+15.72%,10.292M,7.539M,6.064B,N/A
5,MPNGF,Meituan,21.35,+2.66,+14.23%,"103,065","206,906",133.999B,N/A
6,MPNGY,Meituan,42.71,+5.13,+13.65%,"460,333","162,941",133.317B,N/A
7,PDD,Pinduoduo Inc.,43.09,+5.14,+13.54%,27.38M,17.667M,54.483B,51.98
8,BZ,Kanzhun Limited,23.53,+2.68,+12.85%,3.111M,3.874M,9.623B,N/A
9,LNTH,"Lantheus Holdings, Inc.",66.41,+7.29,+12.33%,4.31M,1.179M,4.524B,N/A
10,TAL,TAL Education Group,3.3900,+0.3600,+11.88%,8.468M,10.873M,2.186B,N/A
11,EDU,New Oriental Education & Technology Group Inc.,12.55,+1.30,+11.56%,5.215M,4.462M,2.13B,N/A
12,CYTK,"Cytokinetics, Incorporated",39.87,+4.12,+11.52%,2.279M,"988,322",3.409B,N/A
13,TCTZF,Tencent Holdings Limited,46.95,+4.85,+11.52%,"26,491","48,801",463.669B,13.30
14,NCR,NCR Corporation,35.03,+3.15,+9.88%,9.884M,1.585M,4.775B,60.40
15,BILI,Bilibili Inc.,24.34,+2.17,+9.79%,12.857M,11.388M,9.32B,N/A
16,WB,Weibo Corporation,23.14,+1.89,+8.89%,1.486M,1.126M,5.474B,12.44
17,TCEHY,Tencent Holdings Limited,47.07,+3.81,+8.81%,6.183M,4.669M,452.389B,13.33
18,TSYHF,TravelSky Technology Limited,1.4701,+0.1181,+8.74%,"20,895","5,166",4.517B,50.69
19,GTLS,"Chart Industries, Inc.",168.82,+13.49,+8.68%,1.159M,"635,846",6.181B,117.24
20,AACAY,AAC Technologies Holdings Inc.,2.3000,+0.1800,+8.49%,"125,779","179,727",2.846B,13.86
21,MHK,"Mohawk Industries, Inc.",141.06,+10.28,+7.86%,2.604M,"767,959",8.963B,2.83
22,OLN,Olin Corporation,57.40,+4.14,+7.77%,3.345M,1.932M,8.852B,7.21
23,CILJF,China Life Insurance Company Limited,1.4700,+0.1000,+7.30%,"19,939","4,825",94.886B,5.36
24,AVTR-PA,"Avantor, Inc.",97.03,+6.39,+7.05%,"924,665","105,837",15.949B,114.15
25,AVTR,"Avantor, Inc.",31.88,+2.09,+7.02%,14.445M,5.044M,19.456B,37.51
26,PEGA,Pegasystems Inc.,76.59,+4.93,+6.88%,"970,559","496,916",6.252B,N/A
27,FIVN,"Five9, Inc.",110.10,+7.06,+6.85%,3.124M,1.247M,7.653B,N/A
28,BABA,Alibaba Group Holding Limited,97.09,+6.18,+6.80%,44.681M,32.885M,260.929B,26.64
29,JD,"JD.com, Inc.",61.66,+3.85,+6.66%,19.44M,14.286M,110.699B,N/A
30,RAZFF,Razer Inc.,0.3413,+0.0213,+6.64%,"16,275","84,196",3.359B,68.25
31,IQ,"iQIYI, Inc.",3.5600,+0.2200,+6.59%,23.539M,24.773M,3.066B,N/A
32,VIPS,Vipshop Holdings Limited,7.66,+0.47,+6.54%,10.118M,9.357M,5.201B,7.45
33,BEKE,KE Holdings Inc.,14.18,+0.87,+6.54%,25.718M,19.039M,21.238B,N/A
34,NPSNY,Naspers Limited,20.10,+1.23,+6.52%,"156,735","196,369",21.572B,2.85
35,PROSY,Prosus N.V.,9.72,+0.59,+6.44%,"730,786",1.111M,152.448B,3.86
36,LKNCY,Luckin Coffee Inc.,8.63,+0.51,+6.28%,1.601M,2.045M,2.288B,22.13
37,NARI,"Inari Medical, Inc.",80.70,+4.71,+6.20%,2.23M,"524,348",4.279B,448.33
38,XIACY,Xiaomi Corporation,7.54,+0.44,+6.20%,"111,046","43,094",38.294B,13.00
39,WXXWY,WuXi Biologics (Cayman) Inc.,14.77,+0.86,+6.18%,"129,885","533,119",31.486B,63.12
40,TCOM,Trip.com Group Limited,23.65,+1.36,+6.10%,6.14M,6.702M,15.177B,N/A
41,GDS,GDS Holdings Limited,31.42,+1.79,+6.04%,1.543M,2.08M,5.987B,N/A
42,ABG,"Asbury Automotive Group, Inc.",183.71,+9.94,+5.72%,"508,124","324,788",4.26B,6.94
43,FNMAJ,Federal National Mortgage Association,3.3100,+0.1700,+5.41%,"34,404","18,208",4.569B,331.00
44,PPERF,PT Bank Mandiri (Persero) Tbk,0.6229,+0.0317,+5.35%,"56,301","52,095",30.326B,17.80
45,FNMAI,Federal National Mortgage Association,3.3900,+0.1700,+5.28%,"27,011","9,220",4.675B,339.00
46,BVN,Compañía de Minas Buenaventura S.A.A.,9.44,+0.46,+5.12%,2.381M,1.527M,2.398B,N/A
47,KYOCY,Kyocera Corporation,53.88,+2.60,+5.07%,"27,273","32,701",20.154B,17.14
48,BKRKF,PT Bank Rakyat Indonesia (Persero) Tbk,0.3327,+0.0157,+4.97%,"105,867","105,445",53.43B,18.49
49,ATHM,Autohome Inc.,29.07,+1.34,+4.83%,"632,181","852,009",3.65B,11.12
50,CGC,Canopy Growth Corporation,5.71,+0.26,+4.77%,4.827M,7.994M,2.265B,N/A
51,UNVGY,Universal Music Group N.V.,11.89,+0.53,+4.67%,"21,365","65,755",43.527B,46.09
52,BCCLF,"Becle, S.A.B. de C.V.",2.5000,+0.1100,+4.60%,"68,348","11,077",8.978B,36.23
53,LMDX,LumiraDx Limited,4.7800,+0.2100,+4.60%,"56,739","64,032",2.2B,N/A
54,AMBP,Ardagh Metal Packaging S.A.,7.13,+0.31,+4.55%,1.743M,1.102M,4.302B,N/A
55,NTES,"NetEase, Inc.",95.33,+4.04,+4.43%,2.722M,2.745M,63.965B,24.97
56,TME,Tencent Music Entertainment Group,4.2500,+0.1800,+4.42%,14.677M,19.181M,7.204B,15.51
57,LU,Lufax Holding Ltd,5.55,+0.23,+4.32%,10.205M,10.652M,13.666B,5.44
58,SKHHY,Sonic Healthcare Limited,26.52,+1.09,+4.29%,"21,441","55,598",12.841B,12.28
59,SEOAY,Stora Enso Oyj,19.64,+0.80,+4.26%,"16,594","30,711",15.575B,11.63
60,AEM,Agnico Eagle Mines Limited,58.23,+2.38,+4.26%,4.581M,3.739M,26.561B,26.23
61,NSANF,"Nissan Motor Co., Ltd.",4.0600,+0.1650,+4.24%,"195,713","21,382",16.426B,16.99
62,HSHCY,"Haier Smart Home Co., Ltd.",14.14,+0.56,+4.12%,"49,696","239,751",34.695B,16.29
63,XIACF,Xiaomi Corporation,1.5200,+0.0600,+4.11%,"18,678","29,601",37.541B,13.10
64,AMTD,AMTD IDEA Group,2.3000,+0.0900,+4.07%,"34,217","231,122",3.557B,3.97
65,CD,Chindata Group Holdings Limited,6.24,+0.24,+4.00%,4.513M,2.341M,2.264B,47.63
66,FNMAH,Federal National Mortgage Association,3.1200,+0.1200,+4.00%,"24,900","25,866",4.44B,312.00
67,DIDI,DiDi Global Inc.,1.8800,+0.0700,+3.87%,73.464M,52.435M,9.068B,N/A
68,AGLXY,AGL Energy Limited,6.00,+0.22,+3.86%,"18,050","2,459",4.227B,6.89
69,CSL,Carlisle Companies Incorporated,259.36,+9.43,+3.77%,1.133M,"348,032",13.504B,32.78
70,GNENF,"Ganfeng Lithium Co., Ltd.",11.80,+0.43,+3.74%,"32,634","17,666",22.753B,20.81
71,SYNH,"Syneos Health, Inc.",73.09,+2.63,+3.73%,1.405M,"778,927",7.496B,32.63
72,UBSFY,Ubisoft Entertainment SA,8.97,+0.31,+3.58%,"94,793","215,006",5.507B,61.69
73,ANGPY,Anglo American Platinum Limited,18.59,+0.64,+3.57%,"22,226","34,725",29.521B,5.90
74,VWDRY,Vestas Wind Systems A/S,8.56,+0.29,+3.51%,"734,773","854,469",25.838B,146.89
75,AAIGF,AIA Group Limited,10.00,+0.34,+3.50%,"17,412","66,029",123.793B,16.26
76,NVO,Novo Nordisk A/S,114.00,+3.81,+3.46%,3.229M,1.393M,261.293B,38.75
77,ANSLY,Ansell Limited,76.99,+2.54,+3.41%,"32,411","2,016",2.47B,11.41
78,NOKBF,Nokia Oyj,5.07,+0.17,+3.39%,1.226M,1.029M,28.681B,16.66
79,CSGKF,Credit Suisse Group AG,6.82,+0.22,+3.33%,"67,893","72,533",17.525B,N/A
80,LNVGY,Lenovo Group Limited,19.42,+0.62,+3.30%,"56,398","60,724",11.692B,6.99
81,BGAOY,Proximus PLC,3.4890,+0.1090,+3.22%,"36,598","1,600",5.659B,12.06
82,OVCHY,Oversea-Chinese Banking Corporation Limited,17.80,+0.55,+3.19%,"32,624","47,951",40.193B,11.45
83,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",5.19,+0.16,+3.18%,2.345M,3.178M,33.602B,7.33
84,GRAB,Grab Holdings Limited,2.9500,+0.0900,+3.15%,14.395M,23.2M,11.036B,N/A
85,MGP,MGM Growth Properties LLC,41.64,+1.26,+3.12%,3.587M,1.049M,11.166B,30.62
86,CVAC,CureVac N.V.,17.09,+0.51,+3.08%,"524,035","520,088",3.195B,N/A
87,HELFY,HelloFresh SE,10.48,+0.31,+3.05%,"30,954","37,039",7.282B,28.00
88,YY,JOYY Inc.,39.57,+1.17,+3.05%,"763,880","905,593",2.914B,N/A
89,BIDU,"Baidu, Inc.",124.17,+3.62,+3.00%,5.462M,4.329M,42.907B,29.01
