,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,SMBMF,Sembcorp Marine Ltd,0.0800,-0.0200,-20.00%,"34,009","8,937",2.511B,N/A
1,CBGPF,Close Brothers Group plc,13.94,-3.39,-19.57%,"104,300",0,2.098B,8.31
2,VRSN,"VeriSign, Inc.",178.69,-29.73,-14.26%,2.316M,"610,058",19.61B,25.53
3,AMZN,"Amazon.com, Inc.","2,485.63",-406.30,-14.05%,13.48M,3.684M,1.264T,38.35
4,TEAM,Atlassian Corporation Plc,224.83,-35.15,-13.52%,4.377M,1.821M,53.414B,N/A
5,NTOIY,Neste Oyj,21.32,-3.12,-12.77%,"53,971","77,795",32.751B,17.56
6,WU,The Western Union Company,16.76,-2.41,-12.57%,13.214M,5.122M,6.515B,8.51
7,EGFEF,Eurobank Ergasias Services and Holdings S.A.,1.0500,-0.1500,-12.50%,"191,660","6,835",3.894B,11.29
8,TASK,"TaskUs, Inc.",28.89,-3.84,-11.73%,"774,809","610,248",2.824B,N/A
9,MSTR,MicroStrategy Incorporated,354.17,-46.32,-11.57%,"546,217","436,411",4.001B,N/A
10,FTAI,Fortress Transportation and Infrastructure Investors LLC,21.49,-2.76,-11.38%,3.896M,"650,714",2.132B,N/A
11,DOCN,"DigitalOcean Holdings, Inc.",39.43,-4.57,-10.39%,2.179M,2.048M,4.181B,N/A
12,CVNA,Carvana Co.,57.96,-6.41,-9.96%,10.759M,5.274M,10.294B,N/A
13,CHWY,"Chewy, Inc.",29.06,-3.20,-9.92%,6.443M,4.883M,12.219B,N/A
14,CINF,Cincinnati Financial Corporation,122.66,-13.34,-9.81%,2.45M,"706,533",19.679B,6.78
15,FATE,"Fate Therapeutics, Inc.",28.56,-3.09,-9.76%,1.251M,1.233M,2.758B,N/A
16,MNDY,monday.com Ltd.,129.40,-13.98,-9.75%,"376,384","720,069",5.657B,N/A
17,GDRX,"GoodRx Holdings, Inc.",13.55,-1.46,-9.73%,2.51M,2.696M,5.37B,N/A
18,NET,"Cloudflare, Inc.",86.14,-9.11,-9.56%,3.711M,5.388M,28.085B,N/A
19,TOST,"Toast, Inc.",18.63,-1.96,-9.52%,6.351M,4.846M,9.523B,N/A
20,NATI,National Instruments Corporation,36.14,-3.76,-9.42%,2.8M,"533,008",4.772B,53.94
21,OKTA,"Okta, Inc.",119.31,-12.39,-9.41%,2.553M,2.535M,18.695B,N/A
22,NMRK,"Newmark Group, Inc.",12.15,-1.26,-9.40%,1.507M,1.47M,2.298B,3.20
23,CAE,CAE Inc.,23.78,-2.46,-9.38%,2.006M,"314,043",7.551B,86.79
24,AON,Aon plc,287.99,-29.45,-9.28%,1.926M,1.224M,61.614B,51.89
25,CFLT,"Confluent, Inc.",31.24,-3.09,-9.00%,2.278M,3.082M,8.688B,N/A
26,HPK,"HighPeak Energy, Inc.",27.31,-2.68,-8.92%,"667,967","387,604",2.958B,50.76
27,FR,"First Industrial Realty Trust, Inc.",58.00,-5.65,-8.88%,2.012M,"747,611",7.656B,27.79
28,EGP,"EastGroup Properties, Inc.",187.50,-18.26,-8.87%,"550,600","248,330",7.815B,48.08
29,SIMO,Silicon Motion Technology Corporation,75.93,-7.32,-8.79%,2.02M,"600,753",2.615B,13.27
30,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,89.17,-8.57,-8.77%,2.927M,"571,862",6.333B,N/A
31,BRPHF,Galaxy Digital Holdings Ltd.,10.94,-1.04,-8.70%,"234,369","249,038",3.61B,3.13
32,PRVA,"Privia Health Group, Inc.",21.99,-2.09,-8.68%,"807,458","721,653",2.379B,N/A
33,DRE,Duke Realty Corporation,54.75,-5.20,-8.67%,3.363M,1.806M,21.162B,24.38
34,EXR,Extra Space Storage Inc.,190.00,-18.04,-8.67%,1.32M,"678,709",26.748B,30.67
35,CUBE,CubeSmart,47.51,-4.49,-8.63%,4.013M,1.422M,11.029B,43.59
36,LBRT,Liberty Energy Inc.,16.14,-1.52,-8.61%,12.299M,1.993M,3.016B,N/A
37,HCXLY,Hiscox Ltd,21.40,-2.00,-8.55%,"39,382",957,3.707B,19.56
38,ETSY,"Etsy, Inc.",93.19,-8.69,-8.53%,6.952M,4.025M,11.852B,27.42
39,HTZ,"Hertz Global Holdings, Inc.",20.06,-1.86,-8.49%,6.46M,5.605M,8.367B,N/A
40,AX,"Axos Financial, Inc.",37.88,-3.48,-8.41%,"637,524","374,948",2.254B,10.07
41,FTI,TechnipFMC plc,6.92,-0.63,-8.34%,14.112M,10.917M,3.129B,266.15
42,LFST,"LifeStance Health Group, Inc.",6.77,-0.61,-8.27%,"604,110","849,164",2.534B,N/A
43,GLBE,Global-e Online Ltd.,22.54,-2.02,-8.22%,1.153M,1.402M,3.508B,N/A
44,DNKEY,Danske Bank A/S,7.60,-0.68,-8.21%,"51,844","41,246",12.964B,7.34
45,COIN,"Coinbase Global, Inc.",112.71,-9.98,-8.13%,5.741M,4.479M,29.519B,7.77
46,ACVA,ACV Auctions Inc.,13.35,-1.18,-8.12%,1.386M,1.317M,2.097B,N/A
47,AFRM,"Affirm Holdings, Inc.",28.70,-2.51,-8.04%,7.251M,14.226M,8.164B,N/A
48,NSA,National Storage Affiliates Trust,56.60,-4.94,-8.03%,1.424M,"602,348",7.374B,57.52
49,TRUP,"Trupanion, Inc.",63.62,-5.37,-7.78%,1.446M,"434,179",2.59B,N/A
50,EXPO,"Exponent, Inc.",95.81,-8.07,-7.77%,"315,670","294,775",4.965B,50.43
