,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration
0,AAPL,Apple Inc.,157.65,-5.99,-3.66%,124.912M,88.145M,2.573T,26.21
1,F,Ford Motor Company,14.16,-0.46,-3.15%,82.81M,79.427M,56.906B,3.18
2,AMD,"Advanced Micro Devices, Inc.",85.52,-4.12,-4.60%,82.513M,104.606M,139.172B,33.28
3,DIDI,DiDi Global Inc.,1.8800,+0.0700,+3.87%,73.464M,52.435M,9.068B,N/A
4,VICI,VICI Properties Inc.,29.81,-0.83,-2.71%,47.203M,8.692M,22.31B,16.94
5,NIO,NIO Inc.,16.70,-0.23,-1.36%,61.326M,71.707M,30.526B,N/A
6,INTC,Intel Corporation,43.59,-3.25,-6.94%,67.95M,35.866M,178.226B,8.97
7,T,AT&T Inc.,18.86,-0.56,-2.88%,69.645M,63.167M,135.019B,6.82
8,VALE,Vale S.A.,16.89,-0.11,-0.65%,46.857M,37.273M,80.182B,3.47
9,BAC,Bank of America Corporation,35.68,-1.13,-3.07%,46.534M,52.966M,287.656B,9.99
10,NVDA,NVIDIA Corporation,185.47,-12.35,-6.24%,49.191M,53.955M,462.191B,48.17
11,FB,"Meta Platforms, Inc.",200.47,-5.26,-2.56%,49.043M,40.403M,544.182B,14.56
12,BABA,Alibaba Group Holding Limited,97.09,+6.18,+6.80%,44.681M,32.885M,260.929B,26.64
13,NOK,Nokia Oyj,5.04,+0.14,+2.86%,42.364M,28.233M,28.534B,16.58
14,ITUB,Itaú Unibanco Holding S.A.,4.7900,-0.0900,-1.84%,41.579M,46.776M,46.846B,8.81
15,BBD,Banco Bradesco S.A.,3.6000,-0.0400,-1.10%,39.926M,37.898M,42.09B,8.29
16,NLY,"Annaly Capital Management, Inc.",6.42,-0.20,-3.02%,38.452M,24.894M,9.38B,4.02
17,TWTR,"Twitter, Inc.",49.02,-0.09,-0.18%,37.845M,49.539M,37.431B,N/A
18,SWN,Southwestern Energy Company,7.50,+0.13,+1.76%,36.974M,32.745M,8.371B,N/A
19,MSFT,Microsoft Corporation,277.52,-12.11,-4.18%,36.988M,33.342M,2.076T,29.56
20,SNAP,Snap Inc.,28.46,-0.35,-1.21%,38.417M,37.951M,46.57B,N/A
21,CMCSA,Comcast Corporation,39.76,-1.94,-4.65%,44.13M,21.918M,178.125B,13.08
22,TDOC,"Teladoc Health, Inc.",33.76,+0.25,+0.75%,33.423M,5.751M,5.44B,N/A
23,VZ,Verizon Communications Inc.,46.30,-2.10,-4.34%,40.615M,25.083M,194.46B,8.70
24,PBR,Petróleo Brasileiro S.A. - Petrobras,13.57,+0.06,+0.44%,33.113M,31.867M,88.507B,4.12
25,HOOD,"Robinhood Markets, Inc.",9.81,-0.28,-2.82%,32.495M,20.928M,8.194B,N/A
26,SOFI,"SoFi Technologies, Inc.",6.12,-0.33,-5.12%,33.019M,57.3M,4.894B,N/A
27,SIRI,Sirius XM Holdings Inc.,6.00,-0.31,-4.91%,35.651M,21.004M,23.635B,18.81
28,ABEV,Ambev S.A.,2.9100,-0.0400,-1.36%,30.361M,23.786M,47.416B,18.07
29,PLTR,Palantir Technologies Inc.,10.40,-0.55,-5.02%,29.087M,48.111M,21.113B,N/A
30,TSLA,"Tesla, Inc.",870.76,-6.75,-0.77%,28.321M,25.031M,902.116B,177.67
31,BMY,Bristol-Myers Squibb Company,75.27,-1.93,-2.50%,26.445M,15.241M,159.964B,24.12
