,Symbol,Name,Price,Market Time,Change,Change %,Volume,Market cap
0,^IXIC,Nasdaq,"12,334.64",5:15PM EDT,-536.89,-4.17%,4.03B,N/A
1,^GSPC,S&P 500,"4,131.93",4:59PM EDT,-155.57,-3.63%,2.849B,N/A
2,^DJI,Dow 30,"32,977.21",4:59PM EDT,-939.18,-2.77%,501.564M,N/A
3,BABA,Alibaba Group Holding Limited,97.09,4:01PM EDT,+6.18,+6.80%,44.602M,260.929B
4,VZ,Verizon Communications Inc.,46.30,4:00PM EDT,-2.10,-4.34%,40.615M,194.46B
5,BTC-USD,Bitcoin USD,"38,671.77",4:00AM UTC,-829.39,-2.10%,30.122B,735.774B
6,RDBX,Redbox Entertainment Inc.,5.98,4:00PM EDT,+2.45,+69.41%,101.807M,271.492M
7,SPY,SPDR S&P 500 ETF Trust,412.00,4:00PM EDT,-15.81,-3.70%,145.491M,378.126B
8,COST,Costco Wholesale Corporation,531.72,4:00PM EDT,-30.28,-5.39%,2.962M,235.671B
9,^RUT,Russell 2000,"1,864.10",4:30PM EDT,-53.84,-2.81%,0,N/A
10,BRK-B,Berkshire Hathaway Inc.,322.83,4:03PM EDT,-8.44,-2.55%,5.61M,714.604B
11,VOO,Vanguard 500 Index Fund,378.70,4:00PM EDT,-14.44,-3.67%,8.222M,N/A
12,ABBV,AbbVie Inc.,146.88,4:02PM EDT,-9.43,-6.03%,24.889M,259.431B
13,JPM,JPMorgan Chase & Co.,119.36,4:00PM EDT,-3.98,-3.23%,14.534M,350.572B
14,VTI,Vanguard Total Stock Market Index Fund,206.88,4:00PM EDT,-7.89,-3.67%,7.316M,429.011B
15,QQQ,Invesco QQQ Trust,313.25,4:00PM EDT,-14.76,-4.50%,90.207M,123.139B
16,TQQQ,ProShares UltraPro QQQ,36.53,4:00PM EDT,-5.53,-13.15%,160.058M,N/A
17,VAXX,"Vaxxinity, Inc.",6.95,4:00PM EDT,+3.18,+84.22%,33.571M,873.966M
18,DIS,The Walt Disney Company,111.63,4:02PM EDT,-3.66,-3.17%,16.754M,203.237B
19,BAC,Bank of America Corporation,35.68,4:00PM EDT,-1.13,-3.07%,46.612M,287.656B
20,DIDI,DiDi Global Inc.,1.8800,4:01PM EDT,+0.0700,+3.87%,72.896M,9.068B
21,^VIX,CBOE Volatility Index,33.40,4:15PM EDT,+3.41,+11.37%,0,N/A
22,ACCD,"Accolade, Inc.",5.56,4:00PM EDT,-5.50,-49.73%,22.324M,373.068M
23,BRK-A,Berkshire Hathaway Inc.,"484,340.00",4:04PM EDT,"-14,660.00",-2.94%,"3,071",711.742B
24,BBIG,"Vinco Ventures, Inc.",2.4800,4:00PM EDT,+0.1000,+4.20%,19.44M,466.371M
25,ETH-USD,Ethereum USD,"2,820.08",3:59AM UTC,-102.00,-3.49%,18.525B,340.054B
26,WY,Weyerhaeuser Company,41.22,4:00PM EDT,-0.68,-1.62%,5.088M,30.795B
27,LKCO,Luokung Technology Corp.,0.4900,4:00PM EDT,-0.0064,-1.29%,3.175M,187.377M
28,CYN,Cyngn Inc.,5.52,4:00PM EDT,+1.59,+40.46%,33.861M,149.561M
29,SQQQ,ProShares UltraPro Short QQQ,49.03,4:00PM EDT,+5.68,+13.10%,124.975M,N/A
